Kenzie Padilla,Harvard,23.84,50.54,109.71,296.77,632.30,59.57,128.78,68.34,146.17,54.61,120.46,123.02,271.52
Carlie Rose,Harvard,24.69,52.11,109.65,290.26,599.40,62.53,128.49,72.39,NA,60.34,NA,133.25,271.91
Giulia Viacava,Harvard,NA,NA,109.59,302.08,634.64,56.98,118.51,NA,NA,60.46,NA,127.00,268.17
Blythe Wieclawek,Harvard,22.69,49.71,NA,NA,NA,53.97,NA,NA,NA,54.75,NA,NA,NA
Kiley Wilhelm,Harvard,22.93,49.13,105.98,306.36,603.20,52.47,112.71,67.16,148.89,51.07,112.54,115.78,256.29
Piper Wood Prince,Harvard,24.63,52.69,109.55,287.87,597.12,61.27,124.42,NA,NA,58.71,137.05,136.18,NA
Eleanor Sun,Princeton,23.44,49.59,107.19,290.46,598.19,54.81,116.54,62.70,130.87,53.68,114.64,115.50,245.55
Chloe Kim,Princeton,23.28,51.42,107.52,282.33,579.80,54.37,115.33,63.51,136.12,53.48,116.19,119.30,247.11
Savannah Skow,Princeton,23.41,49.57,105.38,283.39,615.30,55.90,120.66,66.66,148.33,52.81,118.14,119.35,258.71
Sophie Segerson,Princeton,23.98,51.14,109.66,295.84,805.07,55.37,115.47,62.49,133.91,55.26,119.67,117.89,251.50
Sabrina Johnston,Princeton,22.07,48.28,106.36,296.25,649.52,52.34,117.73,65.31,139.70,53.20,123.28,119.20,261.59
Heidi Smithwick,Princeton,22.72,50.33,106.64,286.94,607.88,58.75,128.84,63.02,141.78,52.60,114.62,121.57,255.68
Delaney Herr,Princeton,22.50,49.70,110.58,312.99,686.54,52.41,115.89,63.63,145.38,53.39,123.71,121.65,272.38
Sophia Sunwoo,Princeton,22.19,48.73,107.54,308.01,NA,54.14,119.40,69.26,NA,53.43,NA,123.17,NA
Natalie Farquhar,Princeton,23.59,50.16,107.44,285.93,644.66,54.67,118.89,78.88,171.10,57.75,NA,137.11,284.62
Dakota Tucker,Princeton,24.85,51.56,109.50,292.79,589.52,56.17,119.34,62.65,129.54,56.49,119.05,116.77,247.07
Meg Wheeler,Princeton,NA,NA,111.02,291.85,605.41,NA,116.08,NA,140.18,58.74,129.32,119.45,252.97
Eliza Brown,Princeton,24.88,51.55,111.57,299.90,625.52,58.28,124.38,61.47,131.40,56.62,123.21,118.68,256.36
Veronique Rossouw,Princeton,22.58,49.39,109.87,301.87,NA,NA,NA,NA,NA,53.28,NA,NA,NA
Edie Simecek,Princeton,23.05,49.69,112.10,NA,NA,53.50,120.93,72.88,NA,53.39,119.16,129.84,280.72
Jenna Walters,Princeton,23.03,49.59,106.87,301.39,NA,NA,122.52,NA,NA,NA,NA,NA,NA
Grace Black,Princeton,24.16,52.20,111.01,308.99,741.02,54.41,116.39,66.70,142.95,57.26,129.85,122.47,261.04
Natalie Mak,Princeton,24.62,52.04,111.12,298.55,615.49,54.53,118.24,65.27,139.48,56.00,122.34,121.61,258.20
Katherine Sanders,Princeton,23.48,52.24,110.87,299.05,653.98,58.93,125.43,61.74,133.23,55.60,133.46,123.58,274.12
Nicole De Pree,Princeton,23.46,50.86,113.26,NA,NA,58.83,NA,NA,NA,59.25,NA,NA,NA
Katherine White,Princeton,23.98,50.94,111.99,304.94,631.62,56.51,121.01,65.65,144.87,58.78,141.21,127.75,276.65
Margaret Hayes,Princeton,23.47,50.91,110.62,301.24,NA,55.72,122.29,66.18,146.37,54.55,119.54,123.17,263.43
Sydney Willson,Princeton,24.91,52.01,109.56,290.27,600.66,63.88,NA,65.20,140.97,61.91,NA,128.17,268.82
Caroline Riggs,Yale,24.20,51.88,108.17,285.43,584.32,60.61,125.98,63.36,134.72,56.08,123.90,122.72,252.65
Jessey Li,Yale,22.84,50.12,110.33,316.81,746.60,58.51,126.90,59.96,132.47,56.38,140.34,118.83,271.37
Devyn Sargent,Yale,23.26,50.86,109.57,309.01,NA,53.20,114.63,61.15,137.80,57.94,137.15,120.71,263.38
Mabel Koff,Yale,23.94,50.86,108.37,297.27,636.26,54.01,114.79,64.69,142.58,56.19,122.50,120.05,265.92
Lucy Walker,Yale,24.03,50.81,108.28,297.02,633.17,57.81,122.51,63.31,132.34,55.93,131.32,118.99,254.85
Morgan Cady,Yale,25.07,53.49,111.22,288.78,595.45,63.67,128.88,NA,NA,59.04,NA,132.07,269.07
Julia Ebli,Yale,22.84,50.28,106.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angela Wang,Yale,NA,NA,NA,NA,NA,NA,NA,NA,141.77,59.44,119.68,124.62,259.42
Eunice Lee,Yale,24.39,51.98,112.09,304.29,624.28,56.57,121.27,64.16,136.75,55.67,119.65,120.19,253.84
Lisa-Marie Finger,Yale,23.50,50.38,110.32,NA,NA,NA,NA,NA,NA,56.12,NA,NA,NA
Caroline McCurdy,Yale,22.83,49.72,108.54,299.06,643.44,62.50,NA,66.04,155.78,58.55,137.32,122.76,296.32
Mia Slowik,Yale,24.50,51.73,111.83,306.28,643.74,55.86,119.69,71.74,159.57,59.13,124.77,124.86,263.46
Sara Plunkett,Yale,23.12,50.25,113.06,309.85,643.77,54.85,120.02,66.54,145.77,56.04,NA,125.15,275.64
Riley Botting,Yale,24.47,52.32,111.11,291.40,599.62,58.94,124.34,64.03,137.22,58.00,155.12,122.26,260.02
Lauren Putnam,Yale,24.55,52.53,111.31,294.77,617.46,61.64,131.37,74.70,147.93,58.55,128.78,128.06,267.28
Delilah Skaistis,Yale,25.02,54.23,112.09,305.36,634.81,61.06,140.14,63.30,137.80,58.74,152.29,122.87,264.82
Penny Zarczynski,Yale,22.78,50.63,108.34,307.13,NA,60.68,135.11,75.66,NA,53.74,123.83,138.38,NA
Éle Donegan,Yale,23.17,51.07,113.27,NA,NA,54.87,123.80,NA,NA,54.55,126.88,NA,NA
Ellie Horning,Yale,23.96,52.10,113.80,312.17,640.62,54.46,119.31,73.26,156.14,54.72,127.61,129.59,278.96
Lillian Teel,Yale,27.14,56.52,130.48,328.77,NA,63.13,145.44,67.91,142.68,60.35,126.01,127.32,270.90
Michelle Chen,Yale,23.40,50.91,111.73,303.54,668.90,54.89,119.76,69.06,148.52,56.10,133.40,124.35,274.54
Violet Dorsey-Reyes,Yale,24.53,53.01,117.30,335.71,NA,58.23,128.29,73.75,151.31,57.33,136.44,130.14,284.52
Crystal Yuen,Brown,22.68,49.19,105.28,283.01,595.01,54.92,NA,67.77,147.06,59.13,NA,126.52,283.67
Morgan Lukinac,Brown,22.46,48.29,104.20,314.92,NA,63.53,NA,80.54,NA,58.50,153.03,145.95,NA
Natalie Garre,Brown,24.94,53.11,108.82,283.25,587.77,57.11,119.06,71.74,164.51,58.19,126.87,125.74,255.11
Isabella Dieffenthaller,Brown,22.69,49.15,105.39,297.74,NA,58.07,NA,65.94,161.67,58.35,NA,122.04,NA
Kelly Dolce,Brown,22.85,48.88,107.30,296.84,638.14,55.89,123.07,68.00,179.77,57.53,130.73,127.83,274.80
Sumner Chmielewski,Brown,26.00,54.48,111.41,290.88,600.35,58.47,120.83,72.34,146.42,57.90,119.46,121.04,252.97
Brooke Manning,Brown,25.56,55.45,115.87,299.11,NA,54.97,116.71,NA,NA,59.28,NA,123.91,257.89
Emilia Barck,Brown,23.29,50.75,111.32,302.88,672.34,54.23,118.22,63.76,137.63,55.73,126.09,119.66,257.78
Beatrice Stewart,Brown,24.78,52.21,110.34,292.25,606.10,60.13,129.13,75.39,155.47,56.74,119.78,129.40,271.38
Nadia Thomas,Brown,24.68,52.50,114.01,307.95,633.19,54.09,116.79,69.35,165.31,63.53,NA,126.65,269.22
Kaitlyn Holmes,Brown,25.36,54.46,116.07,304.45,624.09,59.02,125.62,62.51,135.07,60.84,132.00,123.56,261.04
Lily Klinginsmith,Brown,22.81,49.28,109.59,310.74,NA,61.04,151.26,66.21,NA,52.53,123.49,120.73,NA
Lily Robinson,Brown,23.07,50.73,111.47,306.13,625.37,61.02,131.82,66.23,148.01,58.64,133.42,128.54,284.58
Catherine Yu,Brown,24.79,52.18,114.24,315.56,675.06,58.10,122.38,60.93,131.99,57.41,125.84,121.91,260.82
Lizzy Washburn,Brown,24.22,53.32,113.34,299.68,629.13,57.36,127.69,63.94,141.78,54.38,119.60,123.12,261.60
Audrey Chung,Brown,23.10,50.23,111.06,351.55,NA,62.89,138.21,68.00,162.04,55.97,128.99,129.11,286.78
Dana Li,Brown,23.89,51.28,109.17,290.81,604.52,61.67,130.02,66.77,144.65,57.20,122.60,122.46,262.50
Martyna Kaps,Brown,24.02,52.29,113.58,310.36,643.08,60.27,127.37,63.43,137.90,57.05,125.23,123.86,264.34
Amelia Hines,Brown,25.09,53.14,111.23,293.51,614.73,58.80,124.37,73.89,157.63,58.58,124.36,128.68,269.56
Isabelle Shapiro,Brown,24.78,53.73,112.99,298.01,645.36,54.19,116.96,76.81,NA,57.84,129.80,127.61,265.90
Hannah Ahn,Brown,23.65,51.51,112.16,310.16,662.94,56.60,127.65,84.60,NA,53.90,121.51,130.15,296.28
Livia Venditti,Brown,23.75,51.45,110.62,299.63,669.90,54.53,116.30,70.59,155.20,56.44,131.12,126.51,275.89
Gianna Miller,Brown,23.40,50.71,112.46,336.34,NA,56.68,132.52,78.02,NA,58.72,NA,147.02,NA
Sydney Bergstrom,UPenn,24.76,52.92,110.70,282.92,584.75,64.95,136.54,72.40,145.34,59.79,129.25,130.60,256.14
Anna Moehn,UPenn,24.28,51.00,106.77,281.28,581.43,57.83,124.48,68.88,146.74,56.87,121.53,123.72,260.51
Katya Eruslanova,UPenn,23.83,50.67,108.13,288.98,612.53,54.82,116.91,65.34,140.55,57.02,120.18,118.97,251.88
Kate Levensten,UPenn,24.16,52.44,120.34,317.89,NA,52.33,114.44,65.52,153.55,53.65,127.41,121.92,285.77
Kayla Fu,UPenn,22.40,48.61,106.44,295.05,NA,55.58,123.71,66.64,149.30,52.54,125.05,120.53,269.73
Jenna Jacobs,UPenn,23.70,51.04,108.27,286.68,604.89,57.47,133.71,67.10,150.70,57.84,128.28,126.80,268.01
Amy Qin,UPenn,22.63,49.40,110.75,314.64,659.66,52.15,121.47,64.58,149.74,53.84,127.31,122.99,270.86
Brianna Cong,UPenn,23.41,50.86,111.24,325.05,NA,53.41,115.17,72.84,163.27,53.22,123.39,127.66,280.72
Kate Handley,UPenn,25.45,56.65,NA,335.44,NA,70.56,NA,60.97,134.92,59.59,147.45,132.68,289.44
Lily Zhang,UPenn,24.68,51.01,108.98,293.58,615.34,67.26,NA,78.68,NA,56.73,119.87,143.74,271.62
Anna Boeckman,UPenn,24.99,53.03,111.62,291.73,598.59,59.79,126.47,63.39,134.75,56.80,124.52,121.52,257.47
Meredith Holcomb,UPenn,24.19,54.48,118.13,318.68,635.95,57.46,123.27,62.52,133.99,59.80,NA,122.18,259.33
Olivia Safarikova,UPenn,23.81,50.62,109.15,305.63,NA,55.60,118.10,65.55,140.64,60.04,NA,122.76,265.86
Erica Maltsev,UPenn,24.32,51.44,111.67,299.21,627.28,57.73,120.38,69.89,143.00,55.96,121.42,121.32,257.60
Maggie Straley,UPenn,24.84,52.17,110.38,292.48,606.65,60.66,128.66,79.87,NA,60.14,129.70,134.56,285.94
Sophie Henriksen,UPenn,23.95,51.25,109.34,295.00,653.65,55.09,119.72,109.45,NA,54.57,129.18,143.06,NA
Margaret Hu,UPenn,23.41,51.70,NA,NA,NA,55.01,NA,NA,NA,53.30,118.21,NA,NA
Connie Wang,UPenn,23.46,50.15,109.96,313.03,NA,54.47,119.74,69.11,157.20,56.53,132.42,127.31,NA
Caroline Cancelmo,UPenn,24.38,52.03,111.50,294.16,616.60,58.97,127.23,68.40,146.62,55.35,122.98,124.69,263.51
Amber Smith,UPenn,23.19,50.41,109.65,334.67,642.80,56.58,123.78,68.97,151.88,53.88,123.97,123.45,271.74
Abby Druhan,UPenn,24.72,52.42,112.85,297.82,610.46,59.60,128.29,63.15,135.54,57.40,NA,124.21,264.68
Charlotte Holliday,UPenn,24.64,51.99,116.69,322.59,664.30,54.41,119.62,67.92,146.06,56.54,142.74,123.68,269.91
Hannah Pecze,UPenn,25.54,55.04,117.07,311.14,645.76,63.26,133.35,62.90,135.59,60.00,136.28,125.29,274.55
Maddy Morawski,UPenn,25.21,55.44,120.15,321.77,670.32,59.95,126.93,68.81,144.35,57.38,133.73,128.61,271.75
Sienna Wiggins,UPenn,24.69,52.57,116.16,328.78,NA,63.98,143.38,67.29,151.27,61.57,156.31,132.57,296.30
Shaelyn Shields,Columbia,24.25,53.22,110.56,304.68,811.53,54.43,115.91,64.55,140.03,57.30,127.16,121.81,257.94
Ashley Hong,Columbia,24.98,54.45,122.32,327.13,NA,59.14,129.53,62.20,134.19,57.60,NA,121.10,266.69
Lindsay Orringer-Hau,Columbia,25.22,54.09,113.58,288.95,604.61,56.11,118.52,84.62,175.49,56.22,121.62,135.48,274.89
Jilly MacNamara,Columbia,25.20,52.82,111.67,295.83,701.79,54.91,116.59,83.84,NA,60.43,NA,132.48,319.41
Mia Avansino,Columbia,24.98,52.65,111.07,292.99,606.52,58.85,122.24,NA,NA,56.29,120.56,131.93,270.89
Sally Ma,Columbia,22.72,50.01,111.08,335.91,NA,62.24,134.18,73.10,NA,56.68,142.38,131.50,NA
Natalia Diaz,Columbia,23.94,53.94,119.86,316.95,674.52,62.73,134.60,62.35,134.75,58.05,136.88,127.99,272.68
Lorelai Page,Columbia,25.13,53.45,112.58,294.06,617.02,56.46,118.46,NA,162.13,59.12,124.55,130.38,264.70
Audrey Wolk,Columbia,23.40,52.48,114.77,310.96,637.03,57.94,121.08,62.80,137.61,58.83,132.22,123.46,262.74
Hutton Saunders,Columbia,23.85,51.12,109.00,292.77,673.84,60.23,NA,69.46,NA,58.42,142.55,127.03,286.81
Sammy Segerson,Columbia,25.34,53.76,111.45,296.17,609.82,60.71,125.80,66.52,140.78,59.43,124.54,125.50,263.81
Alex Moore,Columbia,24.91,54.24,113.55,300.30,NA,55.86,120.35,69.99,146.69,59.37,142.67,124.70,263.57
Madeleine Rivard,Columbia,24.99,51.91,112.11,302.46,647.48,60.69,136.41,63.28,137.26,58.45,129.59,124.23,274.23
Meredith Stewart,Columbia,24.08,52.14,111.64,292.57,606.48,59.00,130.17,74.00,154.94,57.38,129.36,129.03,273.49
Victoria Mori,Columbia,23.32,50.41,109.52,307.22,643.34,60.03,132.37,63.88,137.75,55.23,127.01,122.46,267.13
Sophie Kloppenburg,Columbia,23.63,51.12,113.38,306.66,644.73,71.67,144.65,72.13,160.63,59.65,134.24,133.40,281.55
Ella Chan,Columbia,23.56,52.76,NA,NA,NA,58.77,NA,NA,NA,54.26,132.86,138.82,NA
Emily Wang,Columbia,24.21,51.90,111.40,310.07,NA,55.28,118.81,65.41,143.58,57.69,128.00,123.18,266.53
Annabelle Kung,Columbia,24.31,52.43,116.97,325.09,674.65,62.07,134.63,79.12,177.55,54.88,121.90,136.41,286.58
Hayley Reed,Columbia,23.88,52.23,111.12,302.68,639.93,62.93,143.41,67.33,145.12,54.62,119.78,129.23,273.03
Isabel Lee,Columbia,22.73,50.87,111.56,322.14,NA,58.44,131.69,66.07,151.67,54.89,146.93,126.61,285.92
Reese Heidenreich,Columbia,23.93,52.75,118.05,341.46,717.11,65.42,144.21,64.76,144.91,59.60,148.67,128.11,292.71
Grace Zhou,Columbia,23.97,51.90,113.36,318.30,NA,54.75,117.87,67.98,148.10,55.24,121.16,121.81,269.42
Grace Dunn,Columbia,24.40,52.20,110.64,296.17,608.86,59.22,125.85,76.63,NA,60.88,134.80,132.32,281.16
Olivia Kim,Columbia,25.29,54.00,113.52,295.84,616.12,63.68,137.68,72.67,155.69,60.68,130.96,134.96,284.50
Hojung Yoon,Cornell,23.62,51.95,108.94,297.08,652.66,54.43,116.62,64.42,137.22,56.73,125.28,119.77,255.54
Jung Min Yoon,Cornell,23.97,50.21,107.75,291.66,612.67,57.53,124.32,69.61,154.01,58.84,136.39,128.18,278.57
Erin DeHollander,Cornell,23.97,53.03,109.55,293.94,604.66,63.15,132.00,64.95,141.72,63.69,137.47,125.48,274.50
Rosalee Springer,Cornell,23.43,50.55,109.90,299.88,648.81,54.12,117.97,65.24,156.14,58.68,142.96,122.35,273.20
OC Vanlinthout,Cornell,24.29,52.34,111.58,300.37,633.52,57.23,121.30,64.42,136.56,55.80,120.52,122.17,259.35
Katherine Ferreira,Cornell,24.48,53.22,114.08,300.27,629.43,56.58,121.05,64.39,137.94,59.02,124.77,122.68,258.38
Audrey Holden,Cornell,24.11,52.49,113.48,319.15,719.35,64.40,141.68,62.11,137.14,58.86,NA,127.85,328.69
Arina Vorobyeva,Cornell,24.01,51.07,109.41,296.21,615.18,56.73,123.00,69.79,148.52,58.46,132.85,124.55,265.03
Katie Yee,Cornell,23.93,52.02,111.30,298.72,626.38,60.92,128.10,68.23,149.13,54.31,118.18,122.66,260.11
Katie Li,Cornell,23.32,50.21,108.40,306.00,635.87,57.01,129.40,65.44,142.14,57.44,NA,121.10,267.11
Mingna Xu,Cornell,23.16,51.76,118.06,322.50,NA,54.21,124.83,71.45,158.74,55.19,132.77,130.07,294.13
Sadye Derstadt,Cornell,23.97,52.41,115.17,308.45,641.80,54.83,120.76,65.02,142.52,56.72,137.60,123.55,264.67
Aly Yokoyama,Cornell,23.84,52.62,113.77,317.42,659.62,53.41,120.56,64.78,139.95,57.11,NA,122.54,265.18
Kyleigh Tangen,Cornell,23.60,51.00,113.15,303.54,687.95,64.91,138.73,89.07,201.33,58.44,147.61,141.56,349.77
Isabela Teixeira,Cornell,23.34,51.02,109.49,300.08,643.37,59.20,131.65,63.73,140.67,56.18,130.76,125.52,276.52
Ariel Lin,Cornell,23.36,51.06,111.89,301.23,656.80,57.41,129.84,69.21,149.86,56.06,129.42,125.92,NA
Nicole Byrnes Cortinas,Cornell,24.18,53.51,115.18,326.82,681.45,65.18,137.77,63.59,135.34,56.87,127.16,125.30,270.56
Min Xu,Cornell,23.76,51.80,112.09,308.80,NA,59.40,127.89,63.05,137.09,58.90,NA,125.62,276.85
Isabel Peng,Cornell,24.32,52.65,113.91,318.13,669.09,57.44,123.69,71.38,161.34,54.72,121.01,127.46,281.20
Natalia Strezenicky,Cornell,25.92,53.87,112.51,295.97,609.48,59.14,125.92,79.35,172.19,60.16,129.61,133.42,285.84
Quinn Rinkus,Cornell,24.06,52.62,117.52,326.10,686.79,64.32,143.22,63.88,141.46,62.66,NA,130.40,297.08
Maddy Ferreira,Cornell,24.71,55.11,119.47,323.86,NA,61.11,135.27,72.13,157.63,56.44,127.00,130.34,279.65
Chloe Addiego,Cornell,23.45,51.18,112.72,307.65,662.29,60.40,136.26,69.41,165.57,54.94,128.31,135.11,285.95
Meghan Ly,Cornell,24.19,53.29,114.81,322.12,664.63,58.49,132.34,63.65,137.35,58.41,138.70,125.66,272.33
Carinn Bethea,Dartmouth,22.73,49.24,106.50,289.67,593.55,67.50,141.56,76.55,172.99,56.44,125.83,135.13,285.72
Izzy Mundee,Dartmouth,23.97,51.76,108.67,287.56,596.75,61.45,132.24,71.38,152.85,57.84,125.52,126.78,272.65
Katherine Jia,Dartmouth,23.57,51.63,111.79,302.98,659.64,55.96,121.94,61.73,135.09,56.64,129.61,121.08,264.76
Sydney Rawie,Dartmouth,24.64,52.16,110.00,291.29,603.77,58.95,123.14,69.35,145.77,56.44,124.67,125.23,260.52
Erika Ilkiu,Dartmouth,25.26,55.60,119.01,324.46,NA,62.40,NA,62.17,135.49,65.52,NA,127.17,296.17
Sena Bozkurt,Dartmouth,23.82,53.41,117.47,314.67,678.00,54.93,119.51,73.78,179.05,53.93,122.29,125.60,NA
Ekin Nazlı Okudur,Dartmouth,24.61,53.52,112.67,301.69,NA,56.86,121.89,NA,NA,NA,NA,NA,NA
Addy Domian,Dartmouth,25.53,53.42,112.51,294.97,608.88,71.61,150.20,84.70,NA,62.98,142.25,143.17,295.17
Carly Joerin,Dartmouth,25.26,53.88,113.67,299.56,608.90,61.49,133.97,67.01,138.55,58.88,128.05,127.47,262.84
Sophia He,Dartmouth,24.09,51.83,111.59,303.86,674.90,56.22,126.36,66.46,139.27,54.21,121.34,122.59,263.89
Jamie Legh,Dartmouth,23.28,51.20,114.17,300.87,NA,54.34,119.28,66.18,NA,53.65,119.59,125.95,284.14
Lane Murray,Dartmouth,23.17,50.61,114.45,329.10,NA,57.07,126.91,72.72,NA,54.54,126.41,127.16,NA
Samantha Li,Dartmouth,23.09,50.41,109.95,313.91,734.25,59.06,130.99,70.33,158.93,57.59,132.42,131.93,291.16
Maria Uranga,Dartmouth,24.11,52.45,122.52,333.32,NA,55.17,120.17,66.36,146.04,56.72,129.98,125.67,276.41
Catherine Ritter,Dartmouth,23.46,51.29,114.53,321.55,670.43,58.32,127.04,72.72,157.88,64.91,150.43,135.95,NA
McLane Gmelich,Dartmouth,24.43,52.78,111.89,304.46,689.14,59.10,130.53,NA,NA,55.88,125.44,128.98,NA
Lindsey Drumm,Dartmouth,23.69,51.75,113.34,336.92,NA,58.80,132.34,69.27,NA,55.14,123.27,130.75,294.28
Nil Helvacioglu,Dartmouth,NA,NA,117.17,307.66,NA,NA,NA,NA,NA,63.04,128.81,NA,NA
Sophia Brown,Dartmouth,24.44,52.82,112.58,301.66,620.29,58.85,126.09,70.89,164.20,57.09,137.34,127.43,274.63
Sasha Dauletau,Dartmouth,24.25,51.05,110.84,313.46,NA,59.40,133.39,68.08,152.93,54.48,123.53,125.26,265.70
Xzana Duranovich,Dartmouth,NA,NA,NA,NA,NA,NA,NA,68.21,149.09,NA,NA,141.82,NA
